pkt_id      flow_id     server_id   
1           1           1           
2           2           2           
3           2           2           
4           1           1           
5           2           2           
6           2           2           
7           1           1           
8           2           2           
9           2           2           
10          1           1           
11          2           2           
12          2           2           
13          1           1           
14          2           2           
15          2           2           
16          1           1           
17          2           2           
18          2           2           
19          1           1           
20          2           2           
21          2           2           
22          1           1           
23          2           2           
24          2           2           
25          1           1           
26          2           2           
27          2           2           
28          1           1           
29          2           2           
30          2           2           
31          1           1           
32          2           2           
33          3           1           
34          1           1           
35          3           1           
36          3           1           
37          3           1           
38          1           1           
39          3           1           
40          4           1           
41          3           1           
42          3           1           
43          4           1           
44          3           1           
45          3           1           
46          4           1           
47          3           1           
48          3           1           
49          4           1           
50          3           1           
51          3           1           
52          4           1           
53          3           1           
54          2           2           
55          4           1           
56          2           2           
57          2           2           
58          2           2           
59          4           1           
60          2           2           
61          1           1           
62          2           2           
63          2           2           
64          1           1           
65          2           2           
66          2           2           
67          1           1           
68          2           2           
69          2           2           
70          1           1           
71          2           2           
72          2           2           
73          1           1           
74          2           2           
75          2           2           
76          1           1           
77          2           2           
78          2           2           
79          1           1           
80          2           2           
81          2           2           
82          1           1           
83          2           2           
84          2           2           
85          1           1           
86          2           2           
87          2           2           
88          1           1           
89          2           2           
90          2           2           
91          1           1           
92          2           2           
93          2           2           
94          2           2           
95          1           1           
96          2           2           
97          1           1           
98          2           2           
99          2           2           
100         1           1           
101         2           2           
102         2           2           
103         1           1           
104         2           2           
105         2           2           
106         1           1           
107         2           2           
108         2           2           
109         4           1           
110         1           1           
111         2           2           
112         2           2           
113         1           1           
114         2           2           
115         2           2           
116         2           2           
117         1           1           
118         2           2           
119         1           1           
120         2           2           
121         2           2           
122         1           1           
123         2           2           
124         2           2           
125         1           1           
126         2           2           
127         3           1           
128         1           1           
129         3           1           
130         3           1           
131         1           1           
132         3           1           
133         3           1           
134         3           1           
135         4           1           
136         2           2           
137         2           2           
138         4           1           
139         2           2           
140         2           2           
141         4           1           
142         2           2           
143         1           1           
144         2           2           
145         2           2           
146         1           1           
147         2           2           
148         2           2           
149         1           1           
150         2           2           
151         2           2           
152         1           1           
153         2           2           
154         2           2           
155         1           1           
156         2           2           
157         2           2           
158         1           1           
159         2           2           
160         3           1           
161         1           1           
162         3           1           
163         3           1           
164         1           1           
165         3           1           
166         3           1           
167         3           1           
168         4           1           
169         3           1           
170         3           1           
171         4           1           
172         3           1           
173         3           1           
174         4           1           
175         3           1           
176         3           1           
177         4           1           
178         3           1           
179         3           1           
180         4           1           
181         3           1           
182         3           1           
183         4           1           
184         3           1           
185         3           1           
186         4           1           
187         2           2           
188         2           2           
189         4           1           
190         2           2           
191         2           2           
192         4           1           
193         2           2           
194         1           1           
195         2           2           
196         2           2           
197         1           1           
198         2           2           
199         2           2           
200         1           1           
201         2           2           
202         2           2           
203         1           1           
204         2           2           
205         2           2           
206         1           1           
207         2           2           
208         2           2           
209         1           1           
210         2           2           
211         2           2           
212         1           1           
213         2           2           
214         2           2           
215         1           1           
216         2           2           
217         2           2           
218         1           1           
219         2           2           
220         2           2           
221         1           1           
222         2           2           
223         2           2           
224         1           1           
225         2           2           
226         2           2           
227         1           1           
228         2           2           
229         2           2           
230         1           1           
231         2           2           
232         2           2           
233         1           1           
234         2           2           
235         2           2           
236         1           1           
237         2           2           
238         2           2           
239         1           1           
240         2           2           
241         2           2           
242         1           1           
243         2           2           
244         2           2           
245         1           1           
246         2           2           
247         2           2           
248         1           1           
249         2           2           
250         2           2           
251         2           2           
252         1           1           
253         2           2           
254         1           1           
255         3           1           
256         3           1           
257         1           1           
258         3           1           
259         2           2           
260         1           1           
261         2           2           
262         2           2           
263         4           1           
264         2           2           
265         2           2           
266         2           2           
267         1           1           
268         2           2           
269         2           2           
270         1           1           
271         2           2           
272         2           2           
273         1           1           
274         2           2           
275         2           2           
276         1           1           
277         2           2           
278         2           2           
279         1           1           
280         2           2           
281         2           2           
282         1           1           
283         2           2           
284         3           1           
285         1           1           
286         3           1           
287         3           1           
288         1           1           
289         3           1           
290         3           1           
291         4           1           
292         3           1           
293         3           1           
294         4           1           
295         3           1           
296         3           1           
297         4           1           
298         3           1           
299         3           1           
300         4           1           
301         3           1           
302         3           1           
303         4           1           
304         3           1           
305         3           1           
306         4           1           
307         3           1           
308         2           2           
309         4           1           
310         2           2           
311         2           2           
312         4           1           
313         2           2           
314         2           2           
315         1           1           
316         2           2           
317         2           2           
318         1           1           
319         2           2           
320         2           2           
321         1           1           
322         2           2           
323         2           2           
324         1           1           
325         2           2           
326         2           2           
327         1           1           
328         2           2           
329         2           2           
330         1           1           
331         2           2           
332         2           2           
333         1           1           
334         2           2           
335         2           2           
336         2           2           
337         1           1           
338         2           2           
339         1           1           
340         2           2           
341         2           2           
342         1           1           
343         2           2           
344         2           2           
345         1           1           
346         2           2           
347         2           2           
348         1           1           
349         2           2           
350         2           2           
351         1           1           
352         2           2           
353         2           2           
354         1           1           
355         2           2           
356         2           2           
357         2           2           
358         1           1           
359         2           2           
